"Type.of.feeding.interaction","Predator.lifestage","intercept","slope","r2","pvalue","fStat"
"insectivorous","larva / juvenile",3.60032838802312,0.384249046154571,0.125577629410637,0.0465944025225446,4.30836287934848
"piscivorous","adult",7.0051761355437,0.285409207488919,0.0762549666793182,3.21527852223257e-307,1460.96633985589
"piscivorous","juvenile",8.72126450880204,0.223480124508171,0.0715818776775047,8.16786748011529e-51,233.384440178497
"piscivorous","larva / juvenile",4.96732009411791,0.652630804441673,0.502262057547569,0.0146301686798566,9.08180416316188
"piscivorous","postlarva",-2.52746573405741,0.106773528674382,0.0389698693052271,0.270820006991041,1.25705314524184
"planktivorous","adult",8.9297727419648,0.802761886290888,0.224199133583999,3.31771921399377e-10,45.0825287172977
"planktivorous","juvenile",2.61342271573401,0.168911383542265,1,NA,NA
"planktivorous","larva",1.21129528124193,0.43188559810351,0.184732831348562,2.46433635713652e-47,231.803381438971
"planktivorous","larva / juvenile",5.08312949598501,0.537539976546299,0.2383099678989,1.55071505486178e-08,36.918661170477
"planktivorous","postlarva/juvenile",6.81310614810303,0.675479706794872,0.231238785388307,1.10590667174295e-16,78.8080363840131
"predacious","adult",7.72830989158596,0.321994355406028,0.146129065719437,2.36661210563443e-274,1356.94671825977
"predacious","juvenile",8.21189551171144,1.06701767698145,0.764901236206758,0,6832.41617317412
"predacious","larva",1.43204943227198,0.323614384510346,0.114146688218642,9.61358023701228e-34,155.91463158479
"predacious","larva / juvenile",8.33544383272431,0.884974945335472,0.4903774538179,5.25353664045459e-73,466.684739290751
"predacious","postlarva",-1.61375195212254,0.15403834606651,0.109207422360888,0.00458060708606845,8.58170550266892
"predacious","postlarva/juvenile",1.94865346657023,0.232955400394708,0.144074981970456,1.17383192983109e-21,98.9760640408157
"predacious/piscivorous","adult",4.78378800257579,0.531028610582126,0.34115409853576,4.19117303972473e-16,82.3310906945515
